DRUG,NDC
Hepatitis B Immu Glob (HepaGam B),60492005101
Humalog,2751001
Insulin,2751001
HydrOXYzine,182137640
HYDROmorphone P.F.,74233326
IDArubicin,13258691
Indomethacin,6337666
Iron Dextran (Test Dose),52544093102
Potassium Acetate,63323007620
Potassium Chloride,338070948
Potassium Chloride,338070341
Potassium Phosphate,409729501
LaMIVudine,173047100
Lepirudin,50419015057
Leucovorin Calcium,703514001
Leucovorin Calcium,55390005210
Levoleucovorin,68152010100
Linezolid,9513601
Linezolid Suspension,9513601
Vitamin E,27434003185
Lorazepam,10019010210
Mannitol,409403101
Methylene Blue,517031010
Mechlorethamine,67386091151
Melphalan,67457021501
Meperidine,409117630
Meperidine,409117830
Meperidine (PF),409117830
Mesna,703480503
Methadone,67457021720
Methadone,66479053002
MetRONIDAZOLE (FLagyl),51079012220
Midazolam,10019002710
Milrinone,10019007001
Mitoxantrone,703468501
Mitoxantrone,63323013210
Sodium Chloride 0.9%,409488850
NEO*PO*SODium Chloride,517293025
Sodium Phosphate,409739172
Sodium Phosphate,517345025
Sodium Thiosulfate,517501901
VinORELbine (Navelbine),703418301
VinORELbine (Navelbine),55390007001
NEO*IV*Cefotaxime,39001910
NEO*PO*Dexamethasone,60432046600
NEO*PO*Vitamin E Drops,60258011130
Nevirapine,597004724
Nitroprusside Sodium,409302401
1/2 NS,338004303
0.45% Sodium Chloride,338004303
Octagam,67467084304
octreotide acetate,78034161
Octreotide Acetate,55390016010
Neo*PO*Omeprazole,58016032730
Ondansetron,781305780
Oxcarbazepine,78035752
Oxcarbazepine,781627043
Pamidronate,63323073410
Pamidronate,703407559
Pancuronium Bromide,703280403
Paroxetine,29321548
PARoxetine HCl,29321548
Pravastatin,51079045820
prednisol,60432021208
Prednisolone,60432021208
prednisoLONE,60432021208
Protamine Sulfate,63323022905
Fluoxetine,777512058
Pyridostigmine Bromide,781304095
Pyridostigmine Bromide,187301220
Pyridostigmine Bromide Syrup,187301220
Quetiapine Fumarate,310027539
Quetiapine Oral Suspension,310027539
RiTONAvir,74194063
Ritonavir (Oral Solution),74194063
Simethicone,536222075
Basiliximab,78033184
PACLItaxel (TaxOL),172375473
Anti-Thymocyte Globulin (Rabbit),58468008001
Tobramycin Sulfate,703940204
Treprostinil Sodium,66302010101
Tretinoin Suspension,555080802
ValGANCIclovir,4003822
ValGANCIclovir Suspension,4003822
Val,4003909
ValGANCIclo,4003909
ValGANCIclovir,4003909
ValGANCIclovir ,4003909
Vancomycin Intrathecal,63323022110
Vasopressin,63323030201
Zonisamide,68084018301
Acetylcysteine (IV),517760425
Aminocaproic ,61748004416
Aminocaproic Acid,61748004416
Aminophylline,517381025
Aminophylline,409592101
Ampicillin,904401408
Ascorbic Acid,54569527900
Ascorbic Acid,409311831
Ascorbic Acid,536016097
Ascorbic Acid (Liquid),536016097
Azacitidine (Subcut),59572010201
BENDAmustine,63459039120
Bevacizumab (Avastin),50242006101
Bortezomib,63020004901
Calcitonin Salmon,78014923
Irinotecan,703443411
CARBOplatin,703424801
Carmustine,15301238
Cetuximab,66733094823
Cimetidine HCl,74744501
Ciprofloxacin IV,703095603
Clindamycin Phosphate,409405101
Cytarabine,55390013110
D10W,338002304
D5LR,338012504
D5NS,338008904
Dacarbazine,55390009010
Daptomycin,67919001101
DAUNOrubicin,55390010810
Desmopressin Acetate,703505401
Dexamethasone Sod Phosphate,63323051610
Dexamethasone Sod Phosphate,703352403
Dexrazoxane,55390006002
HYDROmorphone-HP,409217205
DiphenhydrAMINE,182616840
DiphenhydrAMINE,904517416
morphine,60977001701
Erythromycin Ethylsuccinate Suspension,74636902
Etoposide,703565301
Etoposide,15309520
Fentanyl Citrate,10019003783
Feraheme,59338077510
Fluphenazine DECANOATE,63323027205
Neurontin,71201223
Gabapentin,71201223
Gammagard Liquid,944270005
GammaGARD Liquid,944270005
Ganciclovir,63323031510
Ganciclovir,4694003
Filgrastim,55513053010
Filgrastim,55513054610
Heparin (Preservative Free),409115170
Heparin CRRT,641243645
Heparin Flush,641243645
Heparin Flush CVL  (100 units/ml),641243645
Heparin Flush (100 units/ml),641243645
Heparin Flush PICC (100 units/ml),641243645
Hespan,409724803
Hespan,703507937
Hespan,264196510
Sodium Chloride 3% (Hypertonic),338005403
Infliximab,57894003001
Insulin Regular Human (U-500),2850101
Iron Dextran Complex,52544093102
Ketamine,42023011410
Ketamine (For Intubation),42023011410
Lacosamide,131181067
Lacosamide *NF*,131181067
Leucovorin Calcium,55390005401
Keppra,50474000148
LeVETiracetam,50474000148
LeVETiracetam,54022463
LeVETiracetam Solution,50474000148
LeVETiracetam Solution,54022463
LeVETiracetam Oral Solution,54022463
Levetiracetam,50474000148
LeVETiracetam,14789040005
LeVETiracetam,50474000263
LeVETiracetam,62756051344
Levetiracetam,50474000263
Lithium Carbonate,54352763
Mannitol,338035703
Mannitol 20%,409771503
Mannitol 20%,338035703
Mannitol 20 %,338035703
Metoclopramide,31670972
Metoprolol Tartrate,38779057808
MetRONIDAZOLE (FLagyl),338105548
Sodium Acetate,409329906
Sodium Acetate,63323006661
Sodium Bicarbonate,409662502
Nelarabine (NF),7440106
Clindamycin,409405001
NEO*PO*Potassium Phosphate,409729501
PrednisoLONE Oral Solution,68135045502
CycloSPORINE (Neoral) MODIFIED,78027422
Cyclosporine Modified,78027422
NiCARdipine IV,24477003025
NiCARdipine IV,781320495
NiCARdipine IV,67286081203
NiCARdipine IV,703831503
Insulin,169750111
1/2 NS,338004304
0.45% Sodium Chloride,338004304
NEO*IV*Vancomycin,63323022110
Octreotide Acetate,55390016110
Octreotide Acetate,63323037601
Octreotide Acetate,63323037701
Octreotide Acetate,55390016210
Octreotide Acetate,78018201
Oxaliplatin,24059120
PACLItaxel (TaxOL),25021021350
Pentamidine Isethionate,74454801
Peramivir,18006333453
PHENObarbital,641047725
Phenylephrine 2.5 % Ophth Soln,17478020020
Posaconazole Suspension,85132801
Procainamide,409190201
Procainamide,409190301
Pyridoxine,63323018001
quiniDINE Gluconate,2140701
Rituximab,50242005306
Tacrolimus,469065773
Tacrolimus Suspension,469065773
DOCEtaxel (TaxoTERE),409020120
Tromethamine,409159304
Theophylline (Oral Solution),456064416
Thiamine,63323001302
Valproic Acid,74568216
Vancomycin Oral Liquid,63323031461
Acyclovir Sodium,63323032520
Amoxicillin-Clavulanate Desensitization,29609039
Ciprofloxacin,703095803
Clindamycin,409405201
Clindamycin,409419701
D5 1/4NS,338007704
Dornase alfa,50242010039
Entecavir,3161412
Ferric Gluconate,52544092226
Ferric Gluconate,52544014926
Ferric Gluconate,24279150
Fluconazole Desensitization,703102030
Fluorouracil,703301812
Furosemide,517571025
Heparin Sodium,63323054201
Leuprolide Acetate,300364101
Leuprolide Acetate,74364103
Levocarnitine,703040402
Magnesium Sulfate,409672903
Methotrexate,61703040841
Morphine Sulfate,61703022521
Sodium Chloride ,517293025
PENTObarbital Sodium,67386050152
PENTObarbital Sodium,67386050155
NEO*PO*Metoclopramide,54856304
NEO*IV*Penicillin G Potassium,338102341
Insulin,169183311
Insulin Reg Human (NovoLIN R),169183311
Olanzapine,2411733
Oxaliplatin Desensitization,24059120
Pulmozyme,50242010039
Sterile Water For Irrigation,338000404
Vancomycin Antibiotic Lock,63323022110
Piperacillin-Tazobactam,206886002
Acetaminophen IV,43825010201
"Albumin, Human",44206025110
NEO*IV*Caffeine Citrate,574082301
D12.5W,338002304
D5 1/2NS,338008504
0.9% Sodium Chloride (EXCEL BAG),264780020
Clofarabine  *IND*,58468010002
Sterile Water,409672903
Morphine Sulfate (Concentrated Oral Soln),58177088601
Phytonadione,409915801
Prograf Suspension,469065773
Tacrolimus (Prograf Brand) Suspension,469065773
Thiamine Study Drug (*IND*),63323001302
Insulin,169183411
Pyrimethamine Desensitization,52054033010
Vancomycin Desensitization,63323031461
Cephalexin Desensitization,68180012401
Heparin Sodium,63323054207
Rituximab Desensitization,50242005306
Ropivacaine 0.2%,63323028565
CeftazIDIME,173037934
CefTAZidime,173037934
CeftAZIDime,173037934
Chloramphenicol Na Succ,63323001115
Erythromycin,74647844
Erythromycin Lactobionate,74648101
Erythromycin Lactobionate,74647844
Oxacillin,15797020
Tretinoin (ATRA-All Transretinoic Acid),555080802
Amphotericin B,3043730
Oxacillin,15710328
Vancomycin,409650901
AcetaZOLamide,55390046001
Acetazolamide,55390046001
AcetaZOLAMIDE Sodium,55390046001
AcetaZOLamide Sodium,55390046001
Acetazolamide Sodium,55390046001
AcetaZOLAMIDE,55390046001
Alteplase,50242004413
Caspofungin,6382310
Cefuroxime Sodium,2727125
Chlorothiazide,6361932
Chlorothiazide,67386071155
Chlorothiazide Sodium,6361932
Chlorothiazide Sodium,67386071155
NEO*IM*Palivizumab,60574411301
NEO*IM*Palivizumab,60574411101
Alteplase,50242008527
Anti-Thymocyte Globulin (Rabbit) Desensitization,58468008001
Azithromycin ,69315083
Ceftriaxone,4196201
Chlorothiazide Sodium,63323065820
Erythromycin,409648201
Fluphenazine,63323028110
Imipenem-Cilastatin,6351659
Imipenem-Cilastatin *NF*,6351659
Methylprednisolone Na Succ.,9338901
NEO*IV*Indomethacin Sodium,67386051151
Palivizumab,60574411301
Pentamidine Inhalation,63323087715
Pentamidine ,63323087715
Vancomycin,63323031461
Vancomycin,409651049
Vancomycin,409651001
Vancomycin HCl,2735501
Vancomycin HCl,63323031461
Ampicillin Desensitization,15740320
Ampicillin Desensitization,63323038910
Aztreonam,51479004801
CefazoLIN Desensitization,781345196
Cefazolin Desensitization,781315796
CefePIME,51479005420
Cefepime,51479005420
Meropenem Desensitization,310032130
Meropenem Desensitization,310032165
Nafcillin Desensitization,781312495
Oxacillin Desensitization,15798120
CeftriaXONE Desensitization,4196401
Ceftriaxone Desensitization,4196401
Imodium A-D,50580029304
Loperamide HCl,50580029304
MethylPREDNISolone Sod Succ ,9003928
NEO*IM*Palivizumab,60574411201
Vancomycin Desensitization,63323022110
Vancomycin Desensitization,409433201
Zosyn Desensitization,206845455
Zosyn Desensitization,206885416
Caspofungin Desensitization,6382310
NEO*IM*DT  & Acellular Pertussis,49281029810
NEO*IM*DT  & Acellular Pertussis,49281028605
Aminocaproic Acid,74434673
Epoetin Alfa,55513012610
Epoetin Alfa,55513026710
Epoetin Alfa,55513014810
Gemcitabine HCl,2750201
heparin,74115170
Heparin ,74115170
HEPARIN,74115170
Heparin lock,74115170
Heparin Flush ,74115170
Heparin Flush Port (10units/ml),74115170
Heparin Lock Flush,74115170
Insulin,2841501
Insulin ,2831501
Humulin N,2831501
Insulin Human Regular,2831501
Insulin NPH Human Recomb,2831501
Lumigan,48433023015
Iodine Strong (Lugols),48433023015
NEO*IV*Fat Emulsion,74978901
NEO*IV*Morphine Sulfate,10019017844
NEO*IV*Morphine Sulfate,641018025
NS,74798301
NS,338001702
Tetanus-Diphtheria Toxoids-Td,49281027183
Aztreonam,51479004210
Bupivacaine 0.5%,186103301
Bupivacaine 0.5%,409116202
Bupivacaine 0.50%,186103301
NEO*PO*Caffeine Citrate,597006111
Calcium Gluconate,517391025
CefePIME,51479005530
Cefepime,51479005520
Cefepime,54569468300
CefePIME,51479005520
Clonidine HCl,54823301
Cyclosporine,78010901
Cyclosporine (Sandimmune),78010901
Cyclophosphamide,15054841
D5W,338001738
D5W,74792337
Dexamethasone,54317644
Dexamethasone Intensol,54317644
Diazepam,641036925
Hydromorphone,44101201
Doxacurium Chloride,74443705
Epinephrine 1:1000,517113001
Epinephrine HCl,409724101
Epoetin Alfa,55513014410
Epoetin Alfa,59676032004
Epoetin Alfa,59676034001
Fentanyl Citrate,11098003002
Fentanyl Citrate,74909332
Folic Acid,63323018410
Haloperidol,121058104
Hepatitis B Immune Globulin (Nabi-HB),59730420301
Hepatitis B Immune Globulin (Nabi-HB),59730420201
Hepatitis B Immune Globulin (Nabi-HB),59730839901
Heparin Sodium,641040025
Heparin CRRT,641040025
Heparin Flush CRRT (5000 Units/mL),641040025
Hydromorphone,74131201
Hydromorphone,74131202
Hydromorphone,8029501
Ifosfamide,63323014210
Humulin-R Insulin,2821501
NEO*IV*Insulin (Dilute),2821501
Sodium Polystyrene Sulfonate,54380563
KCl,74665106
Potassium Chloride,74665305
Potassium Chloride,74665106
KCl,74665305
Ketamine HCl,409205105
Ketamine HCl,74205105
Lorazepam,74198530
Lorazepam,24115510
Lorazepam,8058107
NEO*PO*Lorazepam Oral Concentrate,74198530
Lorazepam,54353244
NEO*PO*Lorazepam Oral Concentrate,54353244
Magnesium Sulfate,74407532
Magnesium Sulfate,517260225
Magnesium Sulfate Replacement (Oncology),517260225
Midazolam HCl,74258702
Methotrexate Sodium,54569452500
Methotrexate Sodium,54868479600
Multivitamins,338040360
Multivitamin 12,338040360
Naloxone HCl,63481037710
Naloxone HCl,548146900
Naloxone HCl,74121201
NEO*PO*Ca Glubionate 23mg Ca/ml,51991040516
NEO*PO*Captopril,59772704701
NEO*PO*Chlorothiazide,6361932
NEO*IV*Epoetin Alfa,55513026710
NEO*PO*Folic Acid,55390041010
NEO*PO*Potassium Chloride,74665106
NEO*PO*Ursodiol,52544093001
NEO*IV*Zidovudine,173010793
Sodium Bicarbonate 4.2% (2.4mEq),74660902
Sodium Bicarbonate 4.2% (2.4meq),74660902
NS,74158411
NS (Glass Bottle),74158411
NS (Glass Bottle),74158302
NS        (Glass Bottle),74158302
Muromonab-CD3,59676010101
Ondansetron,173044202
Afrin,904521735
Oxymetazoline HCl,904521735
Oxymetazoline HCl,472159591
Oxymetazoline HCl,904571135
Milrinone Lactate,24120020
Prochlorperazine,7336344
Propranolol HCl,46326510
zz ,2821501
Regular Insulin,2821501
Sodium Chloride,74114102
Sodium Chloride 23.4%,74114102
VinCRIStine,13746686
Vincristine Sulfate,13746686
VinCRIStine (Oncovin),703441211
VinCRIStine (Oncovin),13746686
NEO*PO*Zidovudine Syrup,173011318
NEO*IV*Acyclovir,173099501
Aldesleukin,53905099101
Alemtuzumab,50419035510
Amikacin,15302020
Asparaginase,6461200
Azathioprine Sodium,60976059871
Sulfameth/Trimethoprim,641276543
Sulfamethoxazole/Trimethoprim,50383082316
Sodium Citrate/Citric Acid,121059530
Bupivacaine 0.25%,186103001
Bupivacaine 0.75%,409176102
Busulfan,62161000538
Caspofungin,6382210
Caspofungin Acetate,6382210
Caspofungin Acetate,6382310
*NF* Caspofungin Acetate,6382310
CISplatin,15322022
Cisplatin,15322022
Codeine Phosphate,74110202
Codeine Phosphate,8072801
Prochlorperazine,641049125
Cyclosporine (Sandimmune),78011022
D5W (GLASS BOTTLE),338001602
Daclizumab,4050109
Dexamethasone,54317763
Diazepam,74127332
*NF* Diazoxide Suspension,575620030
Diazepam,74321302
Doxorubicin HCl Liposomal,17314960001
DOXOrubicin,55390023210
Doxorubicin,13110679
DOXOrubicin,13110679
Doxorubicin,55390023210
Edrophonium Chloride,187320010
Edrophonium Chloride,10019087315
NEO*PO*Ergocalciferol,91415060
Esmolol,10019002518
Famotidine,6354120
Famotidine (IV),6354120
*NF* Fenoldopam Mesylate,74230401
Fentanyl Citrate,641111834
Fentanyl Citrate,74909431
Fentanyl Citrate,409909431
Fludarabine Phosphate,50419051106
Fluphenazine,469281030
Foscarnet Sodium,186190501
Furosemide,54329450
NEO*IV*Gentamicin,641039425
NEO*IV*Gentamicin,63323017302
Gentamicin Sulfate,74340001
Gentamicin Sulfate,641039525
Heparin (Preserv. Free),641041425
Heparin Flush (10 units/ml),641041425
Heparin Sodium (Preservative Free),64253022233
Heparin,641245045
Heparin CRRT,641245045
Trastuzumab,50242013460
Hydromorphone HCl,74245327
Hydromorphone P.F.,61703024615
Hydromorphone P.F.,74233326
Idarubicin HCl,13258691
Insulin Human Regular (Dilute),2821501
Interferon Alfa-2B,85117902
Potassium Acetate,469760040
Potassium Phosphate,74729501
Lamivudine,173047100
Leucovorin Calcium,74454102
Lorazepam,8058113
Lorazepam,74198510
Lorazepam,60977011202
Magnesium Sulfate,63323006420
Mannitol,74403101
Megestrol Acetate,15050842
Melphalan,59572030101
Meperidine,54354563
Meperidine,74117830
Meperidine HCl,54354563
Mesna,55390004501
Mesna,63323073310
Mesna,15356302
Methadone HCl,54121842
Metoclopramide HCl,31670972
Midazolam HCl,10019002710
Mitoxantrone HCl,44087152001
Morphine Sulfate,74176201
Sodium Acetate,517209625
SODium Chloride,517293025
NEO*PO*Sodium Chloride,517293025
NEO*IV*Amphotericin B,3043730
Sodium Phosphate,74739172
NEO*IV*CeftazIDIME,173037934
NEO*IV*Ceftazidime,173037934
NEO*PO*Acetazolamide (10mg/1ml),55390046001
NEO*PO*Chloral Hydrate,49452192001
NEO*PO*Hydralazine,517090125
NEO*IV*Metoclopramide,60977045101
NEO*PO*Vitamin E Drops,186580030
NEO*PO*Vitamin E Drops,66591080030
Nitroprusside Sodium,74302401
Nortriptyline,78001633
Nitroglycerin,517481010
Octreotide Acetate,78018003
Octreotide Acetate,78018001
Pamidronate,55390020401
Pamidronate,83260104
Pancuronium Bromide,641254745
Pancuronium Bromide,10019028001
Pancuronium Bromide (NICU),74464601
Pancuronium Bromide (NICU),703280403
Pancuronium Bromide (NICU),641254745
Papaverine HCl,61147800903
Paroxetine HCl,29321548
*NF* Pentostatin,62701080001
Pentobarbital Sodium,74377804
Pentobarbital Sodium,8030302
Pneumococcal Vac Polyvalent,6473900
Propranolol Oral Solution,54372763
Fluoxetine HCl,777512058
Pyridostigmine Bromide,54643582000
Pyridostigmine Bromide,52046002
Ritonavir,74194063
Simulect,78033184
*NF* Basiliximab,78033184
Paclitaxel,55390011405
PACLItaxel (TaxOL),55390011405
Anti-Thymocyte Globulin (Rabbit),62053053425
NEO*IV*Tobramycin Sulfate,2050101
Tobramycin Sulfate,3272510
Tobramycin Sulfate,409357701
Valganciclovir HCl Suspension,4003822
Valganciclovir HCl,4003822
Vasopressin,61570042001
Vasopressin,61570042003
Vasopressin,54569391600
Zidovudine,173011318
1/4 NS,338004938
NEO*PO*Acetaminophen Drops,54569317800
Acetylcysteine,87057007
Acetylcysteine (IV),87057007
Acetylcysteine (IV),87057202
Albumin 5% (12.5gm),944049101
AMINOCAPROIC,61748004416
Aminocaproic Acid ,61748004416
Aminocaproic Acid 25 % Oral Rinse,61748004416
Aminocaproic Acid Oral Rinse,61748004416
Aminophylline,74592201
Inamrinone Lactate,55390004210
Irinotecan HCl,9752901
CARBOplatin,703324811
Carboplatin,15321530
Carboplatin,15321230
*NF* Cefixime Suspension,68180020203
Ciprofloxacin,703095603
Cyclophosphamide,15050301
Cytarabine,9037301
D12W,338002304
Dacarbazine,26815120
Daunorubicin HCl,55390010810
Desmopressin Acetate,75245153
Dexamethasone Sod Phosphate,641227741
Hydromorphone-HP,74241421
Hydromorphone-HP,409217205
Hydromorphone-HP,74245327
Hydromorphone-hp,44101725
DiphenhydrAMINE HCl,904517416
Diphenhydramine HCl,121048910
Diphenhydramine Liquid,904517416
Dolasetron Mesylate,88120632
Morphine Sulfate,641111433
Morphine Sulfate PF,641111433
Fluphenazine Decanoate,3056902
Fosphenytoin Sodium,71400810
Filgrastim,54868252200
Filgrastim,54569482400
Filgrastim,55513054601
Heparin (Preservative Free),74115170
Heparin Flush CVL  (100 units/ml) ,641243645
Heparin Flush Hickman (100 units/ml),641243645
Heparin Flush Midline (100 units/ml),641243645
Hespan,74724803
Insulin,2850101
Neo*IV*Hyaluronidase (Ovine),67425000210
Iron Dextran Complex,517013410
Potassium Acetate,74329406
Sodium Polystyrene Sulfonate,54881501
Sodium Polystyrene Sulfonate,54881755
Potassium Phosphate,74420101
Leucovorin Calcium,66479024725
*NF* Levetiracetam,50474000263
Lidocaine,74621702
Mannitol,74771503
Mannitol,409771503
Mannitol 20%,74771503
Meperidine,74118069
Meperidine,74118002
Metoprolol,781137113
Metoprolol,38779057808
Potassium Chloride,58177000104
NEO*IV*Clindamycin,74405001
NEO*PO*AcetaZOLamide (20mg/1ml),38779041004
Epoetin Alfa,55513014801
NEO*IV*Epoetin Alfa,55513014801
NEO*PO*Potassium Phosphate,74729501
Prednisolone Oral Solution,59439045502
Cyclosporine,78027422
CycloSPORINE Modified (Neoral),78027422
Cyclosporine Modified (Neoral),78027422
Piperacillin-Tazobactam,206882002
NEO*IV*Piperacillin-Tazobactam,206882002
Nicardipine HCl IV,67286081203
*NF* Nicardipine HCl IV,67286081203
Nicardipine HCl,67286081203
Octreotide Acetate,78018101
Octreotide Acetate,78018103
Octreotide Acetate,78018203
NEO*IM*Penicillin G Benzathine,54569191701
Phenobarbital,641047725
Phenobarbital Sodium,641047725
Procainamide HCl,74190201
Procainamide HCl,74190301
Proparacaine HCl 0.5% Opth.,61314001601
Proparacaine HCl 0.5% Opth.,11980004815
Pyridoxine HCl,63323018001
Quinidine Gluconate,2140701
Ranitidine,173036238
Zidovudine,173010793
Sargramostim,58406005030
Sargramostim,50419005030
*NF* Tacrolimus Suspension,469065773
Thiamine HCl,641061025
Acyclovir Sodium,55390061320
Amantadine,63481020516
Amantadine Syrup,60951065616
Amantadine Syrup,63481020516
Morphine (PF),186115002
Clindamycin,55390010901
Clindamycin,74419701
Cytomegalovirus Immune Glob,60574310101
Dolasetron Mesylate,88120806
Dolasetron Mesylate,88120876
Gentamicin Intraventricular,63323017302
Intralipid 20%,338049102
Lipid Emulsion 20%,338049102
Liposyn II  20%,74978901
Metronidazole,74781124
Morphine Sulfate,61703022680
Morphine Sulfate,61703022543
Pentobarbital Sodium,67386050152
Pentobarbital Sodium,74377805
Pentobarbital Sodium,67386050155
NEO*IVChlorothiazide,6361932
NEO*IV*Chlorothiazide,6361932
Fluconazole,61703041463
Fluconazole,338604648
Loperamide,54853516
Loperamide Oral Solution,54853516
NEO*PO*Spironolactone,51079010320
Octreotide Acetate,78018325
Dornase Alfa,50242010039
*NF* Dornase Alfa Inh. Soln.,50242010039
Thiamine HCl,63323001302
NEO*IV*Caffeine Citrate,62991150902
NEO*IV*Caffeine Citrate,87601142
Foscarnet,186190601
NEO*PO*Hydrocortisone Sod Succinate,74567102
Meperidine,74120301
Meperidine PF,74120301
Meperidine PF,409120301
Meperidine HCl,74120301
Enoxaparin Sodium,75062430
NEO*PO*Fluconazole,59762503001
*NF* Potassium Chloride,603153258
NS (IRRIGATION BOTTLE),338004804
Palivizumab,60574411201
Rifampin,55390012301
Vitamin A,66591023921
Neo*PO*Carbamazepine 20mg/mL,68094021462
Epinephrine,74724101
Epinephrine,409724101
Epinephrine ,74724101
Epinephrine 1:1000,74724101
Epinephrine 1:1000,409724101
Benztropine Mesylate,67386061152
Benztropine Mesylate,6327516
